wall_time,rel_time,payload_t,root_x,root_y,root_z,stream_id,step_m
1779872159.596535,5.941085,513.620056,-4.257955,2.263143,0.829738,1779872159596-0,0.001481
1779872159.620909,5.965459,513.640076,-4.256701,2.265356,0.830602,1779872159616-0,0.002686
1779872159.636710,5.981260,513.660034,-4.256155,2.266815,0.831044,1779872159636-0,0.001620
1779872159.656464,6.001014,513.680054,-4.255703,2.268593,0.831244,1779872159656-0,0.001845
1779872159.676518,6.021068,513.700073,-4.254815,2.269733,0.831197,1779872159676-0,0.001446
1779872159.696387,6.040937,513.720093,-4.253751,2.271655,0.830603,1779872159696-0,0.002276
1779872159.716434,6.060984,513.740051,-4.252709,2.272583,0.830327,1779872159716-0,0.001422
1779872159.743125,6.087675,513.760071,-4.249334,2.275233,0.829539,1779872159736-0,0.004362
1779872159.756255,6.100805,513.780029,-4.248038,2.276512,0.829121,1779872159756-0,0.001869
1779872159.776349,6.120898,513.800049,-4.244740,2.279740,0.828173,1779872159776-0,0.004711
1779872159.796395,6.140945,513.820068,-4.243913,2.281203,0.827822,1779872159796-0,0.001716
1779872159.816353,6.160903,513.840027,-4.242157,2.284022,0.827452,1779872159816-0,0.003342
1779872159.836330,6.180880,513.860046,-4.240685,2.286273,0.827402,1779872159836-0,0.002690
1779872159.861875,6.206425,513.880066,-4.238662,2.291235,0.827807,1779872159856-0,0.005374
1779872159.876499,6.221049,513.900024,-4.238494,2.294525,0.828270,1779872159876-0,0.003327
1779872159.896416,6.240966,513.920044,-4.237277,2.301700,0.829761,1779872159896-0,0.007428
1779872159.916410,6.260960,513.940063,-4.237182,2.304119,0.830227,1779872159916-0,0.002465
1779872159.936278,6.280828,513.960083,-4.237320,2.308726,0.830952,1779872159936-0,0.004666
1779872159.956301,6.300851,513.980042,-4.236928,2.310475,0.831333,1779872159956-0,0.001833
1779872159.981624,6.326174,514.000061,-4.235534,2.314560,0.832496,1779872159976-0,0.004470
1779872159.996427,6.340976,514.020081,-4.233645,2.316288,0.833501,1779872159996-0,0.002751
1779872160.016542,6.361092,514.040039,-4.229383,2.319760,0.835937,1779872160016-0,0.006013
1779872160.036470,6.381020,514.060059,-4.225057,2.321918,0.837990,1779872160036-0,0.005252
1779872160.056445,6.400995,514.080078,-4.220209,2.324602,0.840594,1779872160056-0,0.006122
1779872160.083226,6.427776,514.100037,-4.218055,2.325550,0.841922,1779872160076-0,0.002702
1779872160.096531,6.441081,514.120056,-4.213892,2.326376,0.844630,1779872160096-0,0.005035
1779872160.116554,6.461103,514.140076,-4.213428,2.326208,0.845390,1779872160116-0,0.000906
1779872160.136438,6.480987,514.160034,-4.213313,2.325139,0.846724,1779872160136-0,0.001713
1779872160.156614,6.501163,514.180054,-4.213985,2.324622,0.847041,1779872160156-0,0.000906
1779872160.191554,6.536103,514.200073,-4.213775,2.323844,0.847723,1779872160176-0,0.001056
1779872160.196253,6.540803,514.220032,-4.213719,2.323600,0.848270,1779872160196-0,0.000602
1779872160.217318,6.561867,514.240051,-4.215920,2.324082,0.848040,1779872160216-0,0.002265
